item_id,restaurant_id,name,description,price,category,subcategory,cuisine_tag,veg_flag,is_combo,combo_components,bestseller_flag,availability,margin_pct,prep_time_mins,popularity_score,popularity_by_meal
I00001,R0001,Masala Dosa,Dosa with spiced potato filling,115,main,dosa,South Indian,True,False,[],False,True,36.9,21,0.1,"{""breakfast"": 0.28, ""lunch"": 0.33, ""dinner"": 0.67, ""late_night"": 0.58}"
I00002,R0001,Plain Dosa,Crispy rice and lentil crepe,83,main,dosa,South Indian,True,False,[],False,True,48.6,20,0.59,"{""breakfast"": 0.35, ""lunch"": 0.81, ""dinner"": 0.66, ""late_night"": 0.53}"
I00003,R0001,Idli (3 Pcs),Steamed rice cakes,66,main,idli,South Indian,True,False,[],False,True,31.0,17,0.94,"{""breakfast"": 0.04, ""lunch"": 0.79, ""dinner"": 0.43, ""late_night"": 0.54}"
I00004,R0001,Chicken Chettinad,Spicy chicken Chettinad masala,325,main,curry,South Indian,False,False,[],False,True,50.6,19,0.31,"{""breakfast"": 0.36, ""lunch"": 0.3, ""dinner"": 0.69, ""late_night"": 0.48}"
I00005,R0001,Uttapam,Thick pancake with onion and tomato,99,main,uttapam,South Indian,True,False,[],False,True,44.8,5,0.11,"{""breakfast"": 0.33, ""lunch"": 0.39, ""dinner"": 0.5, ""late_night"": 0.11}"
I00006,R0001,Medu Vada (2 Pcs),Crispy urad dal fritters,81,main,vada,South Indian,True,False,[],False,True,29.7,28,0.81,"{""breakfast"": 0.07, ""lunch"": 0.84, ""dinner"": 0.96, ""late_night"": 0.18}"
I00007,R0001,Tomato Chutney,Tangy tomato chutney,43,side,accompaniment,South Indian,True,False,[],False,True,24.6,19,0.99,"{""breakfast"": 0.27, ""lunch"": 0.61, ""dinner"": 0.75, ""late_night"": 0.4}"
I00008,R0001,Sambar,Lentil and vegetable stew,46,side,accompaniment,South Indian,True,False,[],True,True,52.0,16,0.24,"{""breakfast"": 0.19, ""lunch"": 0.96, ""dinner"": 0.37, ""late_night"": 0.53}"
I00009,R0001,Bisi Bele Bath,Spiced rice with lentils,160,rice,rice,South Indian,True,False,[],False,True,47.5,16,0.22,"{""breakfast"": 0.35, ""lunch"": 0.97, ""dinner"": 0.32, ""late_night"": 0.47}"
I00010,R0001,Curd Rice,Yogurt rice with tempering,125,rice,rice,South Indian,True,False,[],False,True,29.8,32,0.75,"{""breakfast"": 0.3, ""lunch"": 0.44, ""dinner"": 0.91, ""late_night"": 0.46}"
I00011,R0001,Rose Milk,Chilled rose-flavoured milk,63,beverage,milk_drink,South Indian,True,False,[],True,True,16.8,21,0.24,"{""breakfast"": 0.18, ""lunch"": 0.67, ""dinner"": 0.31, ""late_night"": 0.5}"
I00012,R0001,Buttermilk,Spiced churned yogurt drink,34,beverage,buttermilk,South Indian,True,False,[],False,True,32.6,9,0.65,"{""breakfast"": 0.1, ""lunch"": 0.69, ""dinner"": 0.46, ""late_night"": 0.18}"
I00013,R0001,Payasam,Vermicelli kheer with nuts,82,dessert,indian_sweet,South Indian,True,False,[],True,False,13.2,35,0.52,"{""breakfast"": 0.27, ""lunch"": 0.58, ""dinner"": 0.98, ""late_night"": 0.46}"
I00014,R0001,Kesari Bath,Semolina sweet with saffron,68,dessert,indian_sweet,South Indian,True,False,[],True,True,38.9,23,0.19,"{""breakfast"": 0.23, ""lunch"": 0.31, ""dinner"": 0.64, ""late_night"": 0.21}"
I00015,R0001,South Indian Thali,"Rice, sambar, rasam, 2 curries, papad, payasam",243,combo,thali,South Indian,True,True,"[""rice"", ""accompaniment"", ""curry"", ""curry"", ""accompaniment"", ""indian_sweet""]",True,True,21.9,20,0.17,"{""breakfast"": 0.16, ""lunch"": 0.39, ""dinner"": 0.7, ""late_night"": 0.44}"
I00016,R0002,Chocolate Mousse,Light airy chocolate mousse,72,dessert,mousse,Desserts & Bakery,True,False,[],False,True,56.0,27,0.15,"{""breakfast"": 0.22, ""lunch"": 0.8, ""dinner"": 0.91, ""late_night"": 0.46}"
I00017,R0002,Fruit Tart,Butter tart with custard and fruits,90,dessert,tart,Desserts & Bakery,True,False,[],False,True,50.7,15,0.59,"{""breakfast"": 0.33, ""lunch"": 0.62, ""dinner"": 0.75, ""late_night"": 0.36}"
I00018,R0002,Veg Puff,Flaky pastry with veggie filling,32,dessert,puff,Desserts & Bakery,True,False,[],False,True,25.2,16,0.98,"{""breakfast"": 0.13, ""lunch"": 0.43, ""dinner"": 0.85, ""late_night"": 0.43}"
I00019,R0002,Chocolate Truffle Cake Slice,Rich chocolate layered cake,92,dessert,cake,Desserts & Bakery,True,False,[],False,True,60.9,23,0.98,"{""breakfast"": 0.26, ""lunch"": 0.44, ""dinner"": 0.78, ""late_night"": 0.14}"
I00020,R0002,Cookie Box (6 Pcs),Assorted freshly baked cookies,75,dessert,cookies,Desserts & Bakery,True,False,[],False,True,31.1,6,0.77,"{""breakfast"": 0.17, ""lunch"": 0.54, ""dinner"": 0.56, ""late_night"": 0.59}"
I00021,R0002,Gulab Jamun (4 Pcs),Milk balls in sugar syrup,60,dessert,indian_sweet,Desserts & Bakery,True,False,[],False,True,38.4,28,0.54,"{""breakfast"": 0.35, ""lunch"": 0.93, ""dinner"": 0.6, ""late_night"": 0.24}"
I00022,R0002,Rasgulla (4 Pcs),Paneer balls in sugar syrup,65,dessert,indian_sweet,Desserts & Bakery,True,False,[],True,True,57.1,31,0.74,"{""breakfast"": 0.36, ""lunch"": 0.43, ""dinner"": 0.47, ""late_night"": 0.59}"
